name,price,image,category,sub_category,is_special,stock_quantity,ingredients_text
Pepperoni Classic,2.29,"https://images.pexels.com/photos/825661/pexels-photo-825661.jpeg?auto=compress&cs=tinysrgb&w=600",pizza,american,false,15,"Pizza dough 200 grams, Tomato sauce 50 grams, Mozzarella cheese 100 grams, Pepperoni 80 grams, Olive oil 10 ml"
BBQ Chicken,2.59,"https://images.pexels.com/photos/2619967/pexels-photo-2619967.jpeg?auto=compress&cs=tinysrgb&w=600",pizza,american,false,12,"Pizza dough 200 grams, BBQ sauce 50 grams, Grilled chicken 100 grams, Cheddar cheese 80 grams, Onion 30 grams"
Margherita,2.19,"https://images.pexels.com/photos/905847/pexels-photo-905847.jpeg?auto=compress&cs=tinysrgb&w=600",pizza,italian,false,20,"Pizza dough 200 grams, Tomato sauce 50 grams, Mozzarella cheese 120 grams, Fresh basil 10 grams, Olive oil 10 ml"
Quattro Stagioni,2.79,"https://images.pexels.com/photos/825662/pexels-photo-825662.jpeg?auto=compress&cs=tinysrgb&w=600",pizza,italian,false,8,"Pizza dough 200 grams, Tomato sauce 50 grams, Mozzarella cheese 100 grams, Ham 50 grams, Mushrooms 40 grams, Black olives 20 grams"
Vegetarian,2.49,"https://images.pexels.com/photos/2147491/pexels-photo-2147491.jpeg?auto=compress&cs=tinysrgb&w=600",pizza,italian,false,10,"Pizza dough 200 grams, Tomato sauce 50 grams, Mozzarella cheese 100 grams, Bell peppers 50 grams, Mushrooms 40 grams, Black olives 20 grams"
Classic Beef Burger,3.99,"https://images.pexels.com/photos/1639557/pexels-photo-1639557.jpeg?auto=compress&cs=tinysrgb&w=600",sandwich,burger,false,10,"Burger bun 1 piece, Ground beef 150 grams, Lettuce 20 grams, Tomato 30 grams, Onion 20 grams, Special sauce 20 ml"
Cheese Burger,3.49,"https://images.pexels.com/photos/1251198/pexels-photo-1251198.jpeg?auto=compress&cs=tinysrgb&w=600",sandwich,burger,false,12,"Burger bun 1 piece, Ground beef 120 grams, Cheddar cheese 2 slices, Lettuce 20 grams, Tomato 30 grams, Special sauce 20 ml"
Hot Dog,2.99,"https://images.pexels.com/photos/1640774/pexels-photo-1640774.jpeg?auto=compress&cs=tinysrgb&w=600",sandwich,hot-dog,false,15,"Hot dog bun 1 piece, Vienna sausage 1 piece, Mustard 10 ml, Ketchup 10 ml, Onion 20 grams"
Chicken Sandwich,3.19,"https://images.pexels.com/photos/1109197/pexels-photo-1109197.jpeg?auto=compress&cs=tinysrgb&w=600",sandwich,chicken,false,12,"Sandwich bread 1 piece, Chicken breast 150 grams, Lettuce 20 grams, Tomato 30 grams, Mayonnaise 20 ml"
Club Sandwich,3.79,"https://images.pexels.com/photos/1059907/pexels-photo-1059907.jpeg?auto=compress&cs=tinysrgb&w=600",sandwich,chicken,false,9,"Toast bread 3 slices, Chicken breast 100 grams, Bacon 2 slices, Lettuce 20 grams, Tomato 30 grams, Special sauce 20 ml"
Crispy Strips,2.49,"https://images.pexels.com/photos/2983099/pexels-photo-2983099.jpeg?auto=compress&cs=tinysrgb&w=600",fried-chicken,strips,false,20,"Chicken strips 200 grams, Breading 50 grams, Special seasoning 5 grams, Mayonnaise 30 ml"
Hot Wings,2.79,"https://images.pexels.com/photos/1565982/pexels-photo-1565982.jpeg?auto=compress&cs=tinysrgb&w=600",fried-chicken,wings,false,25,"Chicken wings 250 grams, Spicy sauce 50 ml, Butter 20 grams, Garlic 5 grams, Special seasoning 5 grams"
Popcorn Chicken,2.29,"https://images.pexels.com/photos/5946081/pexels-photo-5946081.jpeg?auto=compress&cs=tinysrgb&w=600",fried-chicken,popcorn,false,18,"Small chicken pieces 200 grams, Breading 50 grams, Special seasoning 5 grams, Special sauce 30 ml"
BBQ Ribs,4.99,"https://images.pexels.com/photos/1109198/pexels-photo-1109198.jpeg?auto=compress&cs=tinysrgb&w=600",fried-chicken,ribs,false,7,"Pork ribs 300 grams, BBQ sauce 50 ml, Soy sauce 20 ml, Garlic 10 grams, Special seasoning 5 grams"
Family Bucket,8.99,"https://images.pexels.com/photos/2619966/pexels-photo-2619966.jpeg?auto=compress&cs=tinysrgb&w=600",fried-chicken,bucket,false,5,"Whole chicken 1 piece (1 kg), French fries 300 grams, Soda 2 pieces, Special sauce 4 pieces"
Spaghetti Bolognese,3.49,"https://images.pexels.com/photos/1487511/pexels-photo-1487511.jpeg?auto=compress&cs=tinysrgb&w=600",pasta,italian,false,14,"Spaghetti 200 grams, Ground beef 100 grams, Tomato sauce 100 grams, Onion 30 grams, Parmesan cheese 30 grams"
Alfredo Fettuccine,3.79,"https://images.pexels.com/photos/1279330/pexels-photo-1279330.jpeg?auto=compress&cs=tinysrgb&w=600",pasta,italian,false,11,"Fettuccine 200 grams, Cream 100 ml, Butter 30 grams, Parmesan cheese 40 grams, Garlic 10 grams"
Pesto Pasta,3.99,"https://images.pexels.com/photos/1581388/pexels-photo-1581388.jpeg?auto=compress&cs=tinysrgb&w=600",pasta,italian,false,9,"Pasta 200 grams, Pesto sauce 80 grams, Cherry tomatoes 50 grams, Parmesan cheese 30 grams, Pine nuts 20 grams"
Spicy Arrabbiata,3.29,"https://images.pexels.com/photos/1438692/pexels-photo-1438692.jpeg?auto=compress&cs=tinysrgb&w=600",pasta,italian,false,13,"Pasta 200 grams, Spicy tomato sauce 100 grams, Garlic 15 grams, Red pepper 10 grams, Parmesan cheese 30 grams"
Seafood Pasta,4.99,"https://images.pexels.com/photos/1640777/pexels-photo-1640777.jpeg?auto=compress&cs=tinysrgb&w=600",pasta,seafood,false,6,"Pasta 200 grams, Shrimp 100 grams, Mussels 80 grams, Garlic 15 grams, Olive oil 20 ml, Parmesan cheese 30 grams"
Pancakes & Syrup,2.99,"https://images.pexels.com/photos/3738730/pexels-photo-3738730.jpeg?auto=compress&cs=tinysrgb&w=600",breakfast,sweet,false,10,"Pancakes 3 pieces, Maple syrup 50 ml, Butter 20 grams, Strawberries 50 grams, Cream 30 ml"
French Toast,2.79,"https://images.pexels.com/photos/376464/pexels-photo-376464.jpeg?auto=compress&cs=tinysrgb&w=600",breakfast,sweet,false,8,"Toast bread 2 slices, Eggs 2 pieces, Milk 50 ml, Sugar 20 grams, Butter 20 grams, Honey 30 ml"
Omelette,2.49,"https://images.pexels.com/photos/708567/pexels-photo-708567.jpeg?auto=compress&cs=tinysrgb&w=600",breakfast,savory,false,15,"Eggs 3 pieces, Cheese 50 grams, Tomato 30 grams, Mushrooms 30 grams, Onion 20 grams, Oil 20 ml"
Scrambled Eggs,2.29,"https://images.pexels.com/photos/725991/pexels-photo-725991.jpeg?auto=compress&cs=tinysrgb&w=600",breakfast,savory,false,12,"Eggs 3 pieces, Milk 30 ml, Butter 20 grams, Salt and pepper 2 grams, Toast bread 2 slices"
Breakfast Burrito,3.49,"https://images.pexels.com/photos/461198/pexels-photo-461198.jpeg?auto=compress&cs=tinysrgb&w=600",breakfast,savory,false,9,"Tortilla 1 piece, Eggs 2 pieces, Potatoes 100 grams, Cheese 50 grams, Special sauce 30 ml"
Mini Burger,2.99,"https://images.pexels.com/photos/1639557/pexels-photo-1639557.jpeg?auto=compress&cs=tinysrgb&w=600",kids-menu,main,false,10,"Mini burger buns 2 pieces, Ground beef 100 grams, Cheddar cheese 1 slice, Lettuce 10 grams, Tomato 20 grams"
Chicken Nuggets,2.49,"https://images.pexels.com/photos/5946081/pexels-photo-5946081.jpeg?auto=compress&cs=tinysrgb&w=600",kids-menu,main,false,15,"Chicken nuggets 200 grams, French fries 100 grams, Ketchup 30 ml, Mayonnaise 30 ml"
Mac & Cheese,2.79,"https://images.pexels.com/photos/13814644/pexels-photo-13814644.jpeg?auto=compress&cs=tinysrgb&w=600",kids-menu,main,false,12,"Macaroni 150 grams, Cheddar cheese 100 grams, Cream 50 ml, Butter 20 grams, Breading 20 grams"
Fruit Juice,1.49,"https://images.pexels.com/photos/4065145/pexels-photo-4065145.jpeg?auto=compress&cs=tinysrgb&w=600",kids-menu,drink,false,20,"Natural fruit juice 250 ml, Ice cubes 5 pieces, Mint leaves 2 pieces"
Ice Cream,1.99,"https://images.pexels.com/photos/1352278/pexels-photo-1352278.jpeg?auto=compress&cs=tinysrgb&w=600",kids-menu,dessert,false,18,"Vanilla ice cream 2 scoops, Chocolate syrup 30 ml, Whipped cream 20 ml, Colorful sprinkles 10 grams"
Chef's Steak,9.99,"https://images.pexels.com/photos/1351239/pexels-photo-1351239.jpeg?auto=compress&cs=tinysrgb&w=600",specials,main,true,4,"Steak 300 grams, French fries 150 grams, Mixed vegetables 100 grams, Special sauce 30 ml, Butter 20 grams"
Grilled Salmon,8.49,"https://images.pexels.com/photos/2294475/pexels-photo-2294475.jpeg?auto=compress&cs=tinysrgb&w=600",specials,main,true,6,"Salmon 250 grams, White rice 150 grams, Lemon 1 piece, Steamed vegetables 100 grams, Special sauce 30 ml"
Lobster Roll,12.99,"https://images.pexels.com/photos/1435904/pexels-photo-1435904.jpeg?auto=compress&cs=tinysrgb&w=600",specials,main,true,3,"Hot dog bun 1 piece, Lobster meat 200 grams, Butter 30 grams, Special sauce 30 ml, Onion 20 grams, Lettuce 20 grams"
Chocolate Lava Cake,3.99,"https://images.pexels.com/photos/291528/pexels-photo-291528.jpeg?auto=compress&cs=tinysrgb&w=600",specials,dessert,true,8,"Chocolate cake 1 piece, Melted chocolate 50 grams, Whipped cream 30 ml, Strawberries 30 grams"
Tiramisu,3.49,"https://images.pexels.com/photos/1021876/pexels-photo-1021876.jpeg?auto=compress&cs=tinysrgb&w=600",specials,dessert,true,10,"Savoiardi biscuits 5 pieces, Coffee 50 ml, Whipped cream 100 grams, Cocoa powder 10 grams"
Fresh Orange Juice,1.99,"https://images.pexels.com/photos/67468/orange-juice-splash-pexels-photo.jpg?auto=compress&cs=tinysrgb&w=600",drinks,juice,false,30,"Fresh oranges 3 pieces, Ice cubes 5 pieces, Mint leaves 2 pieces"
Iced Latte,2.49,"https://images.pexels.com/photos/982612/pexels-photo-982612.jpeg?auto=compress&cs=tinysrgb&w=600",drinks,coffee,false,25,"Espresso 1 shot, Milk 200 ml, Ice cubes 5 pieces, Vanilla syrup 20 ml"
Mojito,3.99,"https://images.pexels.com/photos/1653559/pexels-photo-1653559.jpeg?auto=compress&cs=tinysrgb&w=600",drinks,cocktail,false,15,"Fresh mint 10 leaves, Lemon 1 piece, Sugar 20 grams, Sparkling water 150 ml, Ice cubes 5 pieces"
